Emp ID,First Name,Last Name,DOB,SSN,State
214,Sarah,Simpson,04/12/1985,***-**-8166,FL
15,Samantha,Lara,08/09/1993,***-**-7526,CO
411,Stacy,Charles,20/12/1957,***-**-8526,PA
166,Michelle,Roy,29/07/1978,***-**-3944,MI
39,Joseph,Rogers,28/03/1985,***-**-3515,MN
423,Erica,Hines,13/10/1975,***-**-6153,NY
192,Zoe,Patel,20/12/1967,***-**-0817,WI
162,Matthew,Harvey,20/01/1990,***-**-0346,TN
131,Shawn,Davis,21/07/1961,***-**-1581,WV
20,April,Baldwin,07/08/1961,***-**-2014,MO
246,Vincent,Daniels,06/01/1972,***-**-2754,MT
525,Ann,Fields,22/08/1960,***-**-7911,IA
392,Jeffrey,Pearson,05/05/1979,***-**-2578,IL
474,Heather,Johnson,23/09/1989,***-**-0904,GA
478,Melissa,Fletcher,14/03/1979,***-**-6881,RI
101,Kimberly,Alvarez,04/09/1984,***-**-8680,LA
52,Monica,Jimenez,08/04/1988,***-**-1668,ND
182,Steven,Johnson,28/05/1962,***-**-7070,NE
637,Sarah,Wood,15/06/1972,***-**-6715,FL
510,Jesus,Petersen,28/03/1958,***-**-0770,OK
122,Rhonda,Rosales,10/04/1963,***-**-0286,AL
294,Nicole,Richardson,09/09/1981,***-**-5228,LA
327,Jennifer,Mendez,20/07/1977,***-**-1994,OR
145,Sandra,Petty,30/01/1981,***-**-7629,NC
565,Michael,Hester,13/04/1987,***-**-6836,SD
590,Joseph,Brown,28/08/1982,***-**-4744,NH
340,Michelle,Cooper,23/08/1993,***-**-2306,WA
176,Barbara,Wise,15/12/1991,***-**-7662,IN
63,Carol,Rosales,20/07/1984,***-**-4907,NJ
121,Mark,Villa,24/02/1969,***-**-2207,MS
70,Russell,Orozco,16/09/1973,***-**-5514,MS
446,Michelle,Sanchez,21/08/1994,***-**-5222,OK
156,Briana,Ayala,31/10/1965,***-**-4542,CT
343,Shane,Roberts,14/12/1958,***-**-6030,HI
599,Cassandra,Morris,24/01/1973,***-**-3831,MT
102,Krista,Thompson,25/07/1984,***-**-7445,KY
377,Jon,Bennett,13/09/1957,***-**-1689,NM
240,April,Thomas,03/12/1993,***-**-3580,CO
455,Haley,Martinez,15/01/1968,***-**-3736,ID
